name,tier,url,image_url,dimensions,handle_drop,ideal_for,colour,made_of,features,design_notes
PRADA SOFT GRAIN DARLING SHOULDER BAG,DELUXE,https://zerocollective.ca/bag/prada-soft-grain-darling-shoulder-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764103099949x690297360516528500/Prada%20Soft%20Grain%20Darling%20Shoulder%20Bag%20BSBPR2510-1265-0%201.jpg","MEDIUM (11"" x 6"" x 4"")","9""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
LOUIS VUITTON EPI NEONOE MM,CLASSIC,https://zerocollective.ca/bag/louis-vuitton-epi-neonoe-mm,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764779298443x185151706376258680/Louis%20Vuitton%20Epi%20Neo%20Noe%20BSBLO2511-741-0%201.jpg","MEDIUM (10"" x 10"" x 6.5"")","5.5"" - 22""","WALLET, PHONE, SUNGLASSES, NOTEBOOK, AND KEYS",,,,
FENDI NAPPA LEATHER MINI BAGUETTE WITH FF MOTIF,CLASSIC,https://zerocollective.ca/bag/fendi-nappa-leather-mini-baguette-with-ff-motif-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764779045372x646319113354470400/Fendi%20Nappa%20Leather%20Mini%20Baguette%20with%20FF%20Motif%20BSBFE2511-719-0%201.jpg","SMALL (8"" x 5"" x 2"")","22.5""","CARDHOLDER, PHONE, AND KEYS",,,,
CHANEL VINTAGE LAMBSKIN QUILTED DIANA FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-diana-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/674f58df30a73ecbf59a45f5_Chanel%20Diana%20Black%20%5B1%5D.webp,"SMALL (9.5"" x 6.5"" x 2.5"")","20""","WALLET, PHONE, SUNGLASSES, AND KEYS",Classic black with gold-tone hardware,Lambskin leather,"Diana flap, diamond quilting, chain strap, CC turn-lock","The Vintage Diana Flap in classic black lambskin celebrates one of Chanel’s most beloved shapes, known for its rounded curves and softly structured elegance. Gold hardware brightens the quilted silhouette, giving the bag a refined, timeless presence. The supple leather and signature turn-lock speak to the enduring appeal of Chanel’s archival craftsmanship. A beautiful choice for women who want an iconic piece with graceful lines."
YSL MINI KATE BAG,CLASSIC,https://zerocollective.ca/bag/ysl-mini-kate-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1759873013497x201775612194392100/YSL%20Mini%20Kate%20Bag%20BSBSL258-1346-0%201.jpg","X-SMALL (7"" x 4"" x 1.5"")","18""","CARDHOLDER, PHONE, AND KEYS","Royal purple and a compact, structured form give the Mini Kate a striking, jewel-toned presence. Grained calfskin, a magnetic flap, and a fine chain strap bring together sharp lines with subtle shine. The Kate has become a contemporary signature within Saint Laurent’s handbag lineup, celebrated for its clean silhouette and bold monogram hardware. It’s perfect for women who love a petite statement piece with timeless evening appeal. Style it with black satin or minimalist tailoring for a refined pop of colour.",Grained calfskin leather,"Structured mini bag, flap with magnetic snap, chain shoulder strap, YSL logo",
BOTTEGA VENETA EAST-WEST ANDIAMO TOP HANDLE BAG,DELUXE,https://zerocollective.ca/bag/bottega-veneta-east-west-andiamo-top-handle-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1746029488140x435269181289397800/Bottega%20Veneta%20Maroon%20East-West%20Andiamo%20%5B1%5D.jpg","MEDIUM (11.5"" x 7"" x 4"")","3"" - 22""","WALLET, PHONE, SUNGLASSES, AND KEYS","Deep and luxurious, the East-West Andiamo Top Handle brings sculptural elegance to a rich red palette. The signature Intrecciato weave is hand-finished by artisans, paired with braided leather ties and a gold knot accent. Andiamo—meaning “let’s go”—captures Bottega Veneta’s blend of craft and modern ease. A refined pick for women who appreciate texture, craftsmanship, and understated colour drama. Style it with warm neutrals or structured layers for timeless sophistication.",Lambskin leather,"East-west silhouette, top handles, signature Intrecciato woven body, braided leather tie with gold knot detail",
CHANEL VINTAGE LAMBSKIN QUILTED SMALL DOUBLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-small-double-flap-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762965522453x822821672782118000/Chanel%20Vintage%20Lambskin%20Quilted%20Small%20Double%20Flap%20Bag%20BOTCH259-2961-0%201.jpg","SMALL (9"" x 5.5"" x 2.5"")","9.5"" - 17""","WALLET, PHONE, AND KEYS",,,,
PRADA TOPSTITCHED SYMBOLE MEDIUM TOTE BAG,CLASSIC,https://zerocollective.ca/bag/prada-topstitched-symbole-medium-tote-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762965350157x559133677663583100/Prada%20Topstitched%20Symbole%20Medium%20Tote%20Bag%20BSBPR259-863-0%201.jpg","LARGE (14"" x 11"" x 4.5"")","6""","LAPTOP, PHONE, WALLET, SUNGLASSES, AND KEYS",White with gold-tone hardware,Smooth leather,"Structured square tote, topstitched geometric Symbole pattern, dual top handles, open interior, metal Prada logo plaque",
CHANEL CAVIAR QUILTED SMALL FILIGREE VANITY CASE,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-small-filigree-vanity-case-3,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1763762033439x204865851211393200/Chanel%20Caviar%20Quilted%20Small%20Filigree%20Vanity%20Case%20BSBCH2510-2138-0%201.jpg","SMALL (6.5"" x 5"" x 2"")","21""","CARDHOLDER, PHONE, AND KEYS",,,,
LOUIS VUITTON MONOGRAM MINI DAUPHINE,DELUXE,https://zerocollective.ca/bag/louis-vuitton-monogram-mini-dauphine,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764103530506x486050994259268350/Louis%20Vuitton%20Monogram%20Mini%20Dauphine%20BSBLV2510-1439-0%201.jpg","SMALL (8"" x 6"" x 3.5"")","10"" - 19""","CARDHOLDER, PHONE, AND KEYS",,,,
LOUIS VUITTON TAURILLON LOCKME LL BB,CLASSIC,https://zerocollective.ca/bag/louis-vuitton-taurillon-lockme-ll-bb,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764103678162x455004312499505150/Louis%20Vuitton%20Taurillon%20LockMe%20ll%20BB%20BSBLV2510-741-0%201.jpg","SMALL (9"" x 6"" x 3"")","3.5"" - 21""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
CELINE SMOOTH CALFSKIN MEDIUM AVA TRIOMPHE BAG,CLASSIC,https://zerocollective.ca/bag/celine-smooth-calfskin-medium-ava-triomphe-bag-0,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1744753489662x582047220713284300/celine%20triomphe%20ava%20%5B1%5D.webp","SMALL (10"" x 5"" x 3"" )","9""","WALLET, PHONE, AND KEYS",,,,
CELINE LAMBSKIN TRIOMPHE DRAWSTRING TOTE BAG,DELUXE,https://zerocollective.ca/bag/celine-lambskin-triomphe-drawstring-tote-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762362597501x654848869889890700/Celine%20Lambskin%20Triomphe%20Drawstring%20Tote%20Bag%20BSBCE259-1446-0%201.jpg","LARGE (13.5"" x 11"" x 5"")","11""","LAPTOP, PHONE, WALLET, SUNGLASSES, AND KEYS",Warm terracotta brown with gold-tone hardware,Lambskin leather,"Drawstring top with subtle gathers, embossed Triomphe logo, slim double handles, soft structured body","The warm terracotta brown tone and softly structured silhouette give this Triomphe Drawstring Tote a relaxed yet elevated presence. Smooth lambskin, slim handles, and subtle gathered edges highlight Celine’s understated craftsmanship. The embossed Triomphe emblem, inspired by the chains surrounding the Arc de Triomphe, adds iconic identity while keeping the design clean and modern. A beautiful choice for women who appreciate pared-back luxury with meaningful heritage. Style it with tonal layers or minimalist tailoring for an effortlessly refined look."
DIOR LAMBSKIN CANNAGE MEDIUM LADY DIOR BAG,DELUXE,https://zerocollective.ca/bag/dior-lambskin-cannage-medium-lady-dior-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762965027532x368101761150068100/Dior%20Lambskin%20Cannage%20Medium%20Lady%20Dior%20Bag%20BKODI259-1831-0%201.jpg","MEDIUM (9.5"" x 8"" x 4"")","4"" - 17""","WALLET, PHONE, SUNGLASSES, AND KEYS",Deep navy with silver-tone hardware,Lambskin leather,"Structured top handle bag, cannage quilting, detachable shoulder strap, “D.I.O.R.” charms, zip-top interior closure, reinforced rolled handles","The deep navy tone and structured silhouette give this Medium Lady Dior a poised, elegant presence. Its lambskin body is stitched in Dior’s iconic cannage pattern, complemented by rolled handles, a detachable strap, and gleaming silver charms. Introduced in 1995 and renamed after Princess Diana, the Lady Dior remains one of the maison’s most enduring symbols of refined craftsmanship. This piece is perfect for women who appreciate architectural structure, feminine detailing, and meaningful heritage. Style it with tonal tailoring or soft knits for a polished, timeless look."
YSL LAMBSKIN QUILTED LE 5 A 7 SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/ysl-lambskin-quilted-le-5-a-7-shoulder-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1761838191843x415630896949853000/YSL%20Lambskin%20Quilted%20Le%205%20a%207%20Shoulder%20Bag%20BSBSL259-1594-0%201.jpg","SMALL (10"" x 6.5"" x 2"")","8""","WALLET, PHONE, AND KEYS",Black with gold-tone hardware,Lambskin leather,"Soft-structured silhouette, lambskin diamond quilting, Cassandre tab closure, adjustable shoulder strap","The sleek black tone and softly structured silhouette give this Le 5 à 7 Shoulder Bag a modern, effortless presence. Supple lambskin, diamond quilting, and the gold Cassandre tab detail highlight Saint Laurent’s refined balance of texture and polish. The Le 5 à 7 line nods to Parisian “apéro hour,” embodying the house’s blend of relaxed elegance and evening-ready charm. A beautiful choice for women who appreciate understated luxury with signature definition. Style it with tailored layers or monochrome looks for a quietly elevated finish."
LOUIS VUITTON NEW WAVE PM SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/louis-vuitton-new-wave-pm-shoulder-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1762965196603x124134617856543890/Louis%20Vuitton%20New%20Wave%20PM%20Shoulder%20Bag%20BKOLV259-1223-0%201.jpg","SMALL (8.5"" x 5.5"" x 2.5"")","11"" - 19.5""","CARDHOLDER, PHONE, AND KEYS","Wavy quilted exterior, front LV logo clasp, multicolour top flap branding, chain-and-leather shoulder strap, compact PM size, curved silhouette",Quilted calfskin leather,,
CHANEL LAMBSKIN QUILTED TRENDY WALLET ON CHAIN,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-trendy-wallet-on-chain-1,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aa22b1e9201fe0922825c4_CHANEL%2080982%20Chain%20wallet.webp,"X-SMALL (7.5"" x 5"" x 2"")","24""","CARDHOLDER, PHONE, AND KEYS",White with gunmetal hardware,Lambskin leather,CC clasp and chain strap,"The clean white lambskin and slim profile give this Trendy Wallet on Chain a refined, understated presence. Lambskin leather, subtle quilting accents, and the CC clasp highlight Chanel’s meticulous approach to small leather goods. The WOC has become a modern favourite for the house, cherished for its seamless blend of function and recognizable Chanel signatures. A versatile choice for women who value compact practicality with timeless luxury. Style it with tailored layers or soft neutrals for an elegant finishing touch."
CHANEL VINTAGE TWEED CHOCOLATE BAR FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-tweed-chocolate-bar-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1763762097392x956449168020089700/Chanel%20Vintage%20Tweed%20Chocolate%20Bar%20Flap%20Bag%20BSBCH259-1782-0%201.jpg","SMALL (8.5"" x 4.5"" x 2"")","9"" - 17""","CARDHOLDER, PHONE, AND KEYS",,,,
CHANEL TWEED HOUNDSTOOTH MEDIUM 19 FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-tweed-houndstooth-medium-19-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755806136198x496037130288038200/Chanel%20Tweed%20Houndstooth%20Medium%2019%20Flap%20Bag%20BSBCH257-2934-0%201.jpg","MEDIUM (10"" x 6.5"" x 3.5"")","20""","WALLET, PHONE, SUNGLASSES, AND KEYS","Black and white houndstooth tweed, gold and ruthenium hardware",Tweed and leather,"Soft flap silhouette, chunky chain strap, mixed metal CC logo, interior zip pocket","Graphic and bold, the Tweed Houndstooth 19 Flap brings classic pattern to the house’s modern, oversized silhouette. Chunky hardware and mixed-metal accents elevate the black-and-white houndstooth weave, giving it edgy sophistication. The 19 line honours Chanel’s iconic quilting while embracing a relaxed, contemporary design ethos. Perfect for collectors who love texture, pattern, and standout presence. Style it with sleek black or winter whites for instant visual impact."
CELINE SHINY CALFSKIN TEEN TRIOMPHE BAG,DELUXE,https://zerocollective.ca/bag/celine-shiny-calfskin-teen-triomphe-bag-2,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755805787926x565256790757436860/Celine%20Shiny%20Calfskin%20Teen%20Triomphe%20Bag%20BSBCE257-2099-0%201.jpg","SMALL (7"" x 5"" x 3"")","20""","CARDHOLDER, PHONE, AND KEYS",Slate green with gold-tone hardware,Shiny calfskin leather,Rectangular flap shape with signature Triomphe clasp; adjustable strap; interior zip pocket,"Polished and contemporary, the Teen Triomphe in slate green showcases clean geometry and a subtle sheen that elevates its compact shape. Smooth calfskin and the sculptural Triomphe clasp create a striking interplay of material and hardware. The Triomphe motif, rooted in Parisian heritage, has become a defining symbol under Hedi Slimane’s direction. A refined pick for collectors who appreciate quiet statement pieces. Wear it with structured outerwear or soft knits for contrast."
FENDI LAMBSKIN FENDIGRAPHY SMALL BAG,CLASSIC,https://zerocollective.ca/bag/fendi-lambskin-fendigraphy-small-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1759847868560x191794147485064420/Fendi%20Lambskin%20Fendigraphy%20Small%20Bag%20BBAFE258-1347-0%201.jpg","SMALL (10"" x 6.5"" x 3.5"")","7""","WALLET, PHONE, SUNGLASSES, AND KEYS",Black with gold-tone hardware,Lambskin leather,"Crescent moon silhouette, bold FENDI logo at the base, adjustable strap, zip top",
PRADA SAFFIANO CUIR LARGE DOUBLE TOTE BAG,DELUXE,https://zerocollective.ca/bag/prada-saffiano-cuir-large-double-tote-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1763568910690x914934577365702700/Prada%20Saffiano%20Cuir%20Large%20Double%20Tote%20Bag%20BBAPR259-845-0%201.jpg","LARGE (14"" x 10.5"" x 7"")","6.5"" - 19.5""","LAPTOP, PHONE, WALLET, SUNGLASSES, AND KEYS",Black with silver-tone hardware,Saffiano leather,"Structured double-compartment tote, dual top handles, removable crossbody strap, central open interior, metal Prada triangle logo, snap side closures","The black tone and structured silhouette give this Prada Double Tote a refined, confident presence. Crafted from durable Saffiano leather, it features dual compartments, snap-adjustable sides, and clean architectural lines that define the bag’s everyday elegance. First introduced under Miuccia Prada, Saffiano leather became a house trademark for its cross-hatch texture and exceptional longevity. This tote is perfect for women who appreciate polished practicality with iconic Italian heritage. Style it with tailored outerwear or sleek workwear for a sharp, elevated finish."
LOEWE GATE ANAGRAM PERFORATED BUCKET BAG,CLASSIC,https://zerocollective.ca/bag/loewe-gate-anagram-perforated-bucket-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1764103978908x835278691862343800/Loewe%20Gate%20Anagram%20Perforated%20Bucket%20Bag%20BSBLO2510-546-0%201.jpg","MEDIUM (11"" x 10.5"" x 5.5"")","19.5""","WALLET, PHONE, SUNGLASSES, AND KEYS",,,,
FENDI FF SOFT TRUNK BAGUETTE SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/fendi-ff-soft-trunk-baguette-shoulder-bag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1763762254091x533527855823256600/Fendi%20FF%20Soft%20Trunk%20Baguette%20Shoulder%20Bag%20BSBFE2510-1284-0%201.jpg","SMALL (8"" x 5"" x 2.5"")","23""","CARDHOLDER, PHONE, AND KEYS",,,,
YSL CLASSIC CASSANDRE CHAIN WALLET,CLASSIC,https://zerocollective.ca/bag/ysl-classic-cassandre-chain-wallet,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1761838038059x974590798347543900/YSL%20Classic%20Cassandre%20Chain%20Wallet%20BOTSL259-1165-0%201.jpg","SMALL (9"" x 5.5"" x 1.5"" )","19""","CARDHOLDER, PHONE, AND KEYS",Ivory with gold-tone hardware,Calfskin leather,"Chevron quilting, envelope flap, gold Cassandre logo, chain strap, compact wallet silhouette","The soft ivory tone and sharp envelope silhouette give the Classic Cassandre Chain Wallet a polished, modern presence. Chevron-quilted leather, clean lines, and the bold gold Cassandre logo highlight Saint Laurent’s precision and graphic elegance. The Cassandre emblem, designed in the 1960s, adds an instantly recognizable focal point that elevates the minimalist structure. A refined choice for women who appreciate sleek shapes with iconic house identity. Style it with monochrome looks or evening layers for a crisp, elevated finish."
DIOR LAMBSKIN CANNAGE STUDDED MINI LADY DIOR BAG,DELUXE,https://zerocollective.ca/bag/dior-lambskin-cannage-studded-mini-lady-dior-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755551109237x471602700429892800/Dior%20Lambskin%20Cannage%20Studded%20Mini%20Lady%20Dior%20Bag%20BSBDI257-1459-0%201%20%281%29.jpg","X-SMALL (6.5"" x 6"" x 3"")","2.5"" - 23""",CARDHOLDER AND KEYS,Blush nude with gold-tone hardware,Lambskin leather,"Structured top handle, detachable chain strap, cannage quilting with metal studs, ""D.I.O.R."" charms",
DIOR FLORAL SMALL BOOK TOTE,CLASSIC,https://zerocollective.ca/bag/dior-floral-small-book-tote-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1761837878954x324126636047092030/Dior%20Floral%20Small%20Book%20Tote%20BSBDI259-1199-0%201.jpg","MEDIUM (11"" x 8.5"" x 4"")","5""","WALLET, PHONE, BOOK, SUNGLASSES, AND KEYS","Cream tones and intricate floral embroidery give this Small Book Tote a vivid, artisanal presence. The boxy silhouette, open top, and strong handle structure highlight Dior’s mastery of embroidered canvas. Introduced by Maria Grazia Chiuri in 2018, the Book Tote quickly became a global staple for its craftsmanship and versatility. A favourite for collectors and women drawn to expressive, detailed workmanship. Let it add texture and colour to simple outfits or vacation looks.",Embroidered canvas,"Boxy open tote, top handles, “CHRISTIAN DIOR” signature band",
PRADA BONNIE MEDIUM HANDBAG,CLASSIC,https://zerocollective.ca/bag/prada-bonnie-medium-handbag-1,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1757809343213x137702593377044600/Prada%20Bonnie%20BSBPR258-2072-0%201.jpg","MEDIUM (12.5"" x 6"" x 5"")","8.5""","WALLET, PHONE, SUNGLASSES, AND KEYS",Black with gold-tone hardware,Shiny calfskin leather,"Glossy calfskin, elongated silhouette, buckle accents, structured top handles, paneled construction","The glossy black finish and elongated silhouette give the Prada Bonnie a sleek, sculptural presence. Shiny calfskin, buckle accents, and structured handles highlight Prada’s modernist approach to texture and detail. The Bonnie’s paneled construction creates a dimensional effect, adding visual depth while maintaining a streamlined profile. A striking choice for women who appreciate contemporary edge with versatile sophistication. Style it with tailored coats or minimalist looks for a polished, directional mood."
DIOR EMBOSSED CALFSKIN MEDIUM C'EST DIOR BAG,DELUXE,https://zerocollective.ca/bag/dior-embossed-calfskin-medium-cest-dior-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1760566748673x334946177454800830/Dior%20Bucket%20BSBDI259-1871-0%201.jpg","MEDIUM (9.5"" x 10"" x 4"")","4.5"" - 19.5""","WALLET, PHONE, SUNGLASSES, AND KEYS",Black with gold-tone hardware,Embossed calfskin leather,"Bucket silhouette, embossed “CD” logo, top handle and adjustable chain strap, open top with snap tab",
FENDI VINTAGE ZUCCA BAGUETTE BAG,CLASSIC,https://zerocollective.ca/bag/fendi-vintage-zucca-baguette-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1763762307620x193026104255220830/Fendi%20Vintage%20Zucca%20Baguette%20Bag%20BSBFE2510-935-0%201.jpg","SMALL (10"" x 6"" x 1.5"")","4""","WALLET, PHONE, AND KEYS",,,,
GOYARD MONTE CARLO PM CLUTCH,DELUXE,https://zerocollective.ca/bag/goyard-monte-carlo-pm-clutch-,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1747060600500x201800984056971900/Goyard%20Monte%20Carlo%20PM%20Clutch%20Orange%20%5B1%5D.jpg","SMALL (10"" x 5.5"" x 1.5"")","14"" - 18""","WALLET, PHONE, SUNGLASSES, AND KEYS",Yellow Goyardine canvas with yellow-leather trim,Goyardine coated canvas and leather,"Slim envelope clutch, studded bar closure, snap fastening, gusseted sides","Bold and artistic, the Monte Carlo PM Clutch pairs vibrant yellow Goyardine with sleek yellow leather. The studded bar closure nods to vintage travel documents and Goyard’s trunk-making heritage. The layered chevron pattern—painted in multiple passes—remains an emblem of the house’s storied visual language. A standout choice for collectors who appreciate statement pieces with history. Style it with structured evening looks or minimalist tailoring for impact."
CHANEL LAMBSKIN QUILTED MEDIUM DAY FLAP,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-medium-day-flap,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1755551763978x907568726136371500/Chanel%20Lambskin%20Quilted%20Medium%20Day%20Flap%20BSBCH257-2394-0%201-2.jpg","SMALL (10"" x 6.5"" x 2.5"")","18.5""","WALLET, PHONE, SUNGLASSES, AND KEYS","Soft and refined, the Medium Day Flap in sage green gains playful contrast from blush-toned piping. The compact yet practical silhouette carries comfortably thanks to its leather-woven chain strap and interior pockets. Chanel’s Day Flap variations celebrate subtle updates to classic quilting through gentle colour accents and streamlined lines. A lovely choice for women who appreciate understated colour with smart usability. Pair it with neutrals or soft greens for harmonious styling.",Lambskin leather,Front flap with CC turn-lock closure; contrast edge trim; leather-woven chain strap with shoulder leather; back slip pocket; interior zip and slip pockets,
YSL CLASSIC CASSANDRE ENVELOPE CHAIN WALLET,CLASSIC,https://zerocollective.ca/bag/ysl-classic-cassandre-envelope-chain-wallet,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1760565218436x270203412663310370/YSL%20Classic%20Cassandre%20Envelope%20Chain%20Wallet%20BSBSL258-669-0%201.jpg","X-SMALL (7.5"" x 5"" x 1.5"")","24""","CARDHOLDER, PHONE AND KEYS",Red with gold-tone hardware,Grained calfskin leather,"Envelope flap, chevron quilting, chain crossbody strap, YSL logo, snap closure",
DIOR QUILTED MACROCANNAGE CALFSKIN MEDIUM CARO SHOULDER BAG,DELUXE,https://zerocollective.ca/bag/dior-quilted-macrocannage-calfskin-medium-caro-shoulder-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1759847490316x798968440852514600/Dior%20Caro%20Cannage%20Shoulder%20Bag%20BBADI258-1728-0%201%20%282%29.jpg","SMALL (10"" x 6"" x 3.5"")","13"" - 21.5""","WALLET, SUNGLASSES, PHONE, AND KEYS",Black with gold-tone hardware,Supple calfskin leather,"Soft rounded silhouette, flap closure, oversized CD clasp, leather-woven chain strap, cannage quilting","The softly rounded shape and pillowy macrocannage quilting give the Caro Bag a sculpted, elevated feel. Supple calfskin, an oversized CD clasp, and a versatile chain-and-leather strap highlight Dior’s contemporary craftsmanship. The Caro was named in honour of Christian Dior’s sister, Catherine Dior, whose strength and spirit inspired the maison. Perfect for women who appreciate modern design enriched with thoughtful history. Wear it with luxe textures or refined basics to create effortless harmony."
FENDI SNAKESKIN FENDI FIRST SMALL BAG,DELUXE,https://zerocollective.ca/bag/fendi-snakeskin-fendi-first-small-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1767035670669x551892703319054600/Fendi%20Snakeskin%20Fendi%20First%20Small%20Bag%20BGRFE252-1694-0%201.jpg","SMALL (9"" x 7"" x 2.5"")","15""","CARDHOLDER, PHONE, AND KEYS","Taupe with snakeskin trim, gold hardware",Leather & genuine snakeskin,"Geometric clutch, F-shaped frame, snakeskin detail","The Fendi First Small Bag stands out with its geometric F-shaped frame draped in soft leather trimmed with genuine snakeskin. Each snakeskin panel is cut, matched, and aligned by artisans to ensure seamless flow across the design. The structured clasp contrasts beautifully with the soft, pliable body, creating a striking balance of textures. An ideal piece for women who enjoy modern silhouettes with natural luxury. Style it handheld for maximum impact."
